dat,aapl,lly
2016-07-15,24.6949996948242,80.2200012207031
2016-07-18,24.9575004577637,79.9499969482422
2016-07-19,24.9675006866455,79.9700012207031
2016-07-20,24.9899997711182,80.2799987792969
2016-07-21,24.8575000762939,80.4000015258789
2016-07-22,24.6650009155273,81.5899963378906
2016-07-25,24.3349990844727,81.9800033569336
2016-07-26,24.1674995422363,82.0899963378906
2016-07-27,25.7374992370605,83.4000015258789
2016-07-28,26.0849990844727,82.9300003051758
2016-07-29,26.0524997711182,82.8899993896484
2016-08-01,26.5125007629395,83.1800003051758
2016-08-02,26.1200008392334,83.3199996948242
2016-08-03,26.4475002288818,82.7200012207031
2016-08-04,26.4675006866455,82.4199981689453
2016-08-05,26.8700008392334,81.5599975585938
2016-08-08,27.0925006866455,81.5999984741211
2016-08-09,27.2024993896484,81.5
2016-08-10,27.0,80.5500030517578
2016-08-11,26.9825000762939,80.5599975585938
2016-08-12,27.0450000762939,80.2200012207031
2016-08-15,27.3700008392334,80.2600021362305
2016-08-16,27.3449993133545,79.8399963378906
2016-08-17,27.3050003051758,80.1100006103516
2016-08-18,27.2700004577637,79.7799987792969
2016-08-19,27.3400001525879,79.0599975585938
2016-08-22,27.1275005340576,79.2900009155273
2016-08-23,27.2124996185303,79.5699996948242
2016-08-24,27.0074996948242,78.4400024414062
2016-08-25,26.8924999237061,78.0100021362305
2016-08-26,26.7350006103516,78.2399978637695
2016-08-29,26.7049999237061,78.5999984741211
2016-08-30,26.5,77.7699966430664
2016-08-31,26.5249996185303,77.75
2016-09-01,26.6825008392334,77.2300033569336
2016-09-02,26.9325008392334,76.8499984741211
2016-09-06,26.9249992370605,78.5100021362305
2016-09-07,27.0900001525879,78.5899963378906
2016-09-08,26.3799991607666,79.8899993896484
2016-09-09,25.7824993133545,78.2399978637695
2016-09-12,26.3600006103516,79.0800018310547
2016-09-13,26.9874992370605,78.4800033569336
2016-09-14,27.9424991607666,78.2900009155273
2016-09-15,28.8924999237061,78.8199996948242
2016-09-16,28.7299995422363,78.8000030517578
2016-09-19,28.3950004577637,79.1600036621094
2016-09-20,28.3924999237061,79.879997253418
2016-09-21,28.3875007629395,80.870002746582
2016-09-22,28.6550006866455,81.2900009155273
2016-09-23,28.1774997711182,81.1600036621094
2016-09-26,28.2199993133545,79.5199966430664
2016-09-27,28.2724990844727,80.879997253418
2016-09-28,28.4874992370605,80.7099990844727
2016-09-29,28.0450000762939,79.7399978637695
2016-09-30,28.2625007629395,80.2600021362305
2016-10-03,28.1299991607666,81.0
2016-10-04,28.25,81.1100006103516
2016-10-05,28.2625007629395,81.75
2016-10-06,28.4724998474121,81.4700012207031
2016-10-07,28.5149993896484,82.0899963378906
2016-10-10,29.0125007629395,83.0599975585938
2016-10-11,29.0750007629395,81.8099975585938
2016-10-12,29.3349990844727,80.5100021362305
2016-10-13,29.2450008392334,80.0
2016-10-14,29.4074993133545,79.2699966430664
2016-10-17,29.3875007629395,78.5299987792969
2016-10-18,29.3675003051758,78.7699966430664
2016-10-19,29.2800006866455,78.5599975585938
2016-10-20,29.2649993896484,78.7399978637695
2016-10-21,29.1499996185303,78.25
2016-10-24,29.4125003814697,77.5699996948242
2016-10-25,29.5625,77.75
2016-10-26,28.8974990844727,76.7600021362305
2016-10-27,28.6200008392334,76.1600036621094
2016-10-28,28.4300003051758,74.5299987792969
2016-10-31,28.3850002288818,73.8399963378906
2016-11-01,27.8724994659424,72.9800033569336
2016-11-02,27.8974990844727,72.6500015258789
2016-11-03,27.4575004577637,72.1100006103516
2016-11-04,27.2099990844727,72.4899978637695
2016-11-07,27.6025009155273,73.879997253418
2016-11-08,27.7649993896484,74.0199966430664
2016-11-09,27.7199993133545,78.3899993896484
2016-11-10,26.9475002288818,78.3399963378906
2016-11-11,27.1075000762939,77.6699981689453
2016-11-14,26.4274997711182,77.0199966430664
2016-11-15,26.7775001525879,77.3199996948242
2016-11-16,27.4974994659424,76.9400024414062
2016-11-17,27.4874992370605,77.7099990844727
2016-11-18,27.5149993896484,76.6699981689453
2016-11-21,27.9325008392334,76.6399993896484
2016-11-22,27.9500007629395,75.9899978637695
2016-11-23,27.8075008392334,68.0
2016-11-25,27.9475002288818,69.120002746582
2016-11-28,27.8924999237061,67.1999969482422
2016-11-29,27.8649997711182,67.1500015258789
2016-11-30,27.6299991607666,67.120002746582
2016-12-01,27.3724994659424,65.9700012207031
2016-12-02,27.4750003814697,67.7099990844727
2016-12-05,27.2775001525879,67.2600021362305
2016-12-06,27.4874992370605,67.8000030517578
2016-12-07,27.7574996948242,67.379997253418
2016-12-08,28.0300006866455,67.1900024414062
2016-12-09,28.4874992370605,67.8499984741211
2016-12-12,28.3250007629395,67.6100006103516
2016-12-13,28.7975006103516,68.6399993896484
2016-12-14,28.7975006103516,67.6699981689453
2016-12-15,28.9549999237061,71.370002746582
2016-12-16,28.9925003051758,73.3099975585938
2016-12-19,29.1599998474121,73.4199981689453
2016-12-20,29.2374992370605,73.379997253418
2016-12-21,29.2649993896484,73.25
2016-12-22,29.0725002288818,73.2600021362305
2016-12-23,29.1299991607666,73.7900009155273
2016-12-27,29.3150005340576,73.8099975585938
2016-12-28,29.1900005340576,73.0599975585938
2016-12-29,29.1825008392334,73.5599975585938
2016-12-30,28.9549999237061,73.5500030517578
2017-01-03,29.0375003814697,74.5999984741211
