"dat","z","opn","mx","mn","clo","vol"
"20150319","",32.1875,32.3125,31.8500003814697,31.875,183238000
"20150320","",32.0625,32.0999984741211,31.2900009155273,31.4750003814697,274780400
"20150323","",31.7800006866455,31.9624996185303,31.6299991607666,31.8024997711182,150838800
"20150324","",31.8075008392334,32.0099983215332,31.6399993896484,31.6725006103516,131369200
"20150325","",31.6350002288818,31.7049999237061,30.8449993133545,30.8449993133545,206620800
"20150326","",30.6900005340576,31.2199993133545,30.6499996185303,31.0599994659424,190291600
"20150327","",31.1424999237061,31.1749992370605,30.7275009155273,30.8125,158184800
"20150330","",31.0125007629395,31.6000003814697,31,31.5925006866455,188398800
"20150331","",31.5224990844727,31.6224994659424,31.0900001525879,31.1075000762939,168362400
"20150401","",31.2049999237061,31.2800006866455,30.7749996185303,31.0625,162485600
"20150402","",31.2574996948242,31.3899993896484,31.0475006103516,31.3299999237061,128880400
"20150406","",31.1175003051758,31.8775005340576,31.0825004577637,31.8374996185303,148776000
"20150407","",31.9099998474121,32.0299987792969,31.4950008392334,31.5025005340576,140049200
"20150408","",31.4624996185303,31.6000003814697,31.2425003051758,31.3999996185303,149316800
"20150409","",31.4624996185303,31.6450004577637,31.1650009155273,31.6399993896484,129936000
"20150410","",31.4874992370605,31.8024997711182,31.3150005340576,31.7749996185303,160752000
"20150413","",32.0924987792969,32.1425018310547,31.6525001525879,31.7124996185303,145460400
"20150414","",31.75,31.8225002288818,31.4775009155273,31.5750007629395,102098400
"20150415","",31.6025009155273,31.7824993133545,31.5025005340576,31.6949996948242,115881600
"20150416","",31.5699996948242,31.7749996185303,31.5275001525879,31.5424995422363,113476000
"20150417","",31.3875007629395,31.5349998474121,31.1149997711182,31.1875,207828000
"20150420","",31.3924999237061,32.0299987792969,31.2924995422363,31.8999996185303,188217200
"20150421","",32.0250015258789,32.0499992370605,31.6674995422363,31.7275009155273,129740400
"20150422","",31.7474994659424,32.2174987792969,31.5799999237061,32.1549987792969,150618000
"20150423","",32.0750007629395,32.6049995422363,32.0349998474121,32.4174995422363,183083600
"20150424","",32.622501373291,32.6575012207031,32.3074989318848,32.5699996948242,178103600
"20150427","",33.0774993896484,33.2825012207031,32.7874984741211,33.1624984741211,387816800
"20150428","",33.6150016784668,33.6349983215332,32.3925018310547,32.6399993896484,475696000
"20150429","",32.5400009155273,32.8974990844727,32.0750007629395,32.1599998474121,253544400
"20150430","",32.1599998474121,32.1599998474121,31.1450004577637,31.2875003814697,332781600
"20150501","",31.5249996185303,32.5325012207031,31.3250007629395,32.2374992370605,234050400
"20150504","",32.375,32.6425018310547,32.064998626709,32.1749992370605,203953200
"20150505","",32.0374984741211,32.1124992370605,31.4449996948242,31.4500007629395,197085600
"20150506","",31.6399993896484,31.6875,30.8400001525879,31.2525005340576,288564000
"20150507","",31.1924991607666,31.5200004577637,31.0049991607666,31.3150005340576,175763600
"20150508","",31.6700000762939,31.9050006866455,31.5275001525879,31.9050006866455,222201600
"20150511","",31.8474998474121,31.8899993896484,31.4074993133545,31.5799999237061,168143200
"20150512","",31.3999996185303,31.7199993133545,31.2049999237061,31.4675006866455,192640000
"20150513","",31.5375003814697,31.7975006103516,31.4675006866455,31.5025005340576,138776800
"20150514","",31.8525009155273,32.2374992370605,31.7900009155273,32.2374992370605,180814000
"20150515","",32.2675018310547,32.372501373291,32.0525016784668,32.1925010681152,152832000
"20150518","",32.0950012207031,32.6800003051758,32.0900001525879,32.5475006103516,203531600
"20150519","",32.6725006103516,32.7200012207031,32.4099998474121,32.5175018310547,178532800
"20150520","",32.5,32.7449989318848,32.3349990844727,32.5149993896484,145819600
"20150521","",32.5175018310547,32.9075012207031,32.4575004577637,32.8474998474121,158921600
"20150522","",32.9000015258789,33.2425003051758,32.8499984741211,33.1349983215332,182384000
"20150526","",33.1500015258789,33.2275009155273,32.2799987792969,32.4049987792969,282790400
"20150527","",32.5849990844727,33.064998626709,32.5125007629395,33.0099983215332,183332800
"20150528","",32.9650001525879,32.9874992370605,32.7750015258789,32.9449996948242,122933200
"20150529","",32.8074989318848,32.8624992370605,32.4749984741211,32.5699996948242,203538000
"20150601","",32.5699996948242,32.8474998474121,32.5125007629395,32.6349983215332,128451200
"20150602","",32.4650001525879,32.6650009155273,32.3300018310547,32.4900016784668,134670400
"20150603","",32.6650009155273,32.7350006103516,32.4749984741211,32.5299987792969,123934000
"20150604","",32.3950004577637,32.6450004577637,32.2275009155273,32.3400001525879,153800400
"20150605","",32.375,32.4225006103516,32.0900001525879,32.1624984741211,142507200
"20150608","",32.2249984741211,32.3025016784668,31.7075004577637,31.9500007629395,210699200
"20150609","",31.6749992370605,32.0200004577637,31.4050006866455,31.8549995422363,224301600
"20150610","",31.9799995422363,32.3349990844727,31.9624996185303,32.2200012207031,156349200
"20150611","",32.2949981689453,32.5449981689453,32.1199989318848,32.1474990844727,141563600
"20150612","",32.0475006103516,32.0825004577637,31.7775001525879,31.7924995422363,147544800
"20150615","",31.5249996185303,31.8099994659424,31.4274997711182,31.7299995422363,175955600
"20150616","",31.7574996948242,31.9624996185303,31.5925006866455,31.8999996185303,125976400
"20150617","",31.9300003051758,31.9699993133545,31.6849994659424,31.8250007629395,131672400
"20150618","",31.8075008392334,32.0774993896484,31.8050003051758,31.9699993133545,141628800
"20150619","",31.9274997711182,31.9549999237061,31.6000003814697,31.6499996185303,218867600
"20150622","",31.8724994659424,32.0149993896484,31.7700004577637,31.9025001525879,136157200
"20150623","",31.8700008392334,31.9025001525879,31.7199993133545,31.7574996948242,121075600
"20150624","",31.8024997711182,32.4500007629395,31.7800006866455,32.0275001525879,221123600
"20150625","",32.2150001525879,32.2999992370605,31.875,31.875,127752400
"20150626","",31.9174995422363,31.9974994659424,31.6275005340576,31.6875,176267200
"20150629","",31.3649997711182,31.6175003051758,31.1200008392334,31.1324996948242,196645600
"20150630","",31.3924999237061,31.5300006866455,31.2150001525879,31.3575000762939,177482800
"20150701","",31.7250003814697,31.7350006103516,31.4974994659424,31.6499996185303,120955200
"20150702","",31.6075000762939,31.6725006103516,31.4424991607666,31.6100006103516,108844000
"20150706","",31.2350006103516,31.5575008392334,31.2124996185303,31.5,112241600
"20150707","",31.4724998474121,31.5375003814697,30.9424991607666,31.4225006103516,187787200
"20150708","",31.1200008392334,31.1599998474121,30.6350002288818,30.6424999237061,243046400
"20150709","",30.9624996185303,31.0149993896484,29.8050003051758,30.0174999237061,314380000
"20150710","",30.4850006103516,30.9624996185303,30.3024997711182,30.8199996948242,245418000
"20150713","",31.2574996948242,31.4400005340576,31.0799999237061,31.4150009155273,165762000
"20150714","",31.5100002288818,31.5925006866455,31.2600002288818,31.4025001525879,127072400
"20150715","",31.4300003051758,31.7875003814697,31.3950004577637,31.7049999237061,134596800
"20150716","",31.9349994659424,32.1425018310547,31.8374996185303,32.127498626709,144889600
"20150717","",32.2700004577637,32.4049987792969,32.0774993896484,32.4049987792969,184658800
"20150720","",32.7425003051758,33.2425003051758,32.6749992370605,33.0175018310547,235600800
